,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
4603,Other,18-29,Felony,Other,None,1-5,None,yes
4604,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,no
4605,Caucasian,18-29,Felony,Burglary,None,1-5,None,no
4606,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,no
4607,Other,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4608,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,None,None,no
4609,African American,18-29,Misdemeanor,Other,None,None,None,yes
4610,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
4612,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,None,1-5,no
4614,African American,18-29,Felony,Other,None,1-5,None,yes
4615,Caucasian,Younger than 18,Felony,Other,None,None,None,yes
4616,Caucasian,18-29,Criminal Traffic,Other,None,1-5,1-5,no
4617,African American,18-29,Felony,Bail Jumping,1-5,None,None,no
4619,Caucasian,30-39,Misdemeanor,Resisting Officer,None,None,None,no
4620,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4621,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4623,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
4624,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,None,None,yes
4625,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,yes
4627,African American,18-29,Misdemeanor,Battery,None,1-5,1-5,no
4628,African American,40-49,Felony,Other,1-5,1-5,6-10,yes
4629,African American,18-29,Misdemeanor,Battery,None,6-10,None,yes
4630,Caucasian,50-59,Felony,Other,None,None,None,no
4631,Caucasian,30-39,Felony,Other,None,1-5,1-5,no
4632,Other,30-39,Misdemeanor,Battery,6-10,1-5,1-5,yes
4633,African American,18-29,Felony,Other,None,None,None,no
4634,African American,18-29,Misdemeanor,Disorderly Conduct,1-5,None,None,no
4635,Caucasian,30-39,Felony,Other,1-5,1-5,6-10,no
4636,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4637,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
4639,Other,18-29,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
4640,African American,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
4641,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
4642,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
4646,African American,18-29,Felony,Other,1-5,1-5,None,yes
4648,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4649,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,1-5,no
4651,Other,30-39,Felony,Other,None,None,None,no
4652,Caucasian,40-49,Felony,Other,None,1-5,1-5,no
4653,Other,18-29,Felony,Other,None,None,None,no
4655,African American,50-59,Criminal Traffic,OAR/OAS,None,None,None,yes
4656,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
4657,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,6-10,no
4659,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,None,None,no
4660,Caucasian,50-59,Misdemeanor,Resisting Officer,None,1-5,None,no
4661,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
4662,African American,18-29,Misdemeanor,Other,None,6-10,None,yes
4663,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,6-10,1-5,no
4664,Caucasian,40-49,Felony,Other,None,1-5,None,yes
4665,Other,30-39,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
4667,African American,Younger than 18,Felony,Other,None,None,None,yes
4668,Other,30-39,Criminal Traffic,Other,None,None,None,yes
4669,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
4670,Other,18-29,Misdemeanor,Other,None,1-5,1-5,yes
4671,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
4672,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
4673,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
4674,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4675,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
4676,African American,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,yes
4677,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4678,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4679,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
4680,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,1-5,yes
4681,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
4682,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,None,no
4683,African American,40-49,Felony,Bail Jumping,6-10,6-10,6-10,yes
4684,African American,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,no
4685,African American,18-29,Felony,Other,None,1-5,None,no
4686,Other,18-29,Misdemeanor,Other,1-5,None,None,no
4687,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
4688,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
4689,Other,40-49,Felony,Burglary,1-5,None,1-5,no
4690,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,no
4691,Caucasian,50-59,Misdemeanor,Bail Jumping,1-5,6-10,None,no
4692,Caucasian,18-29,Felony,Bail Jumping,6-10,None,None,yes
4693,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
4694,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
4695,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,None,None,no
4697,Caucasian,30-39,Felony,Other,None,None,None,no
4698,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,1-5,no
4699,Caucasian,18-29,Felony,Other,None,None,None,no
4700,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
4701,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4703,Caucasian,Younger than 18,Felony,Other,None,1-5,None,no
4704,Other,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
4705,African American,18-29,Felony,Other,1-5,None,None,yes
4706,Other,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
4707,Other,30-39,Misdemeanor,Battery,None,1-5,None,no
4708,African American,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
4710,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4711,Other,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
4712,Caucasian,30-39,Misdemeanor,Battery,1-5,None,None,yes
4714,African American,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,no
4715,Caucasian,18-29,Misdemeanor,Other,More than 10,6-10,None,yes
4716,Caucasian,Older than 60,Misdemeanor,OAR/OAS,1-5,1-5,None,no
4717,Caucasian,18-29,Misdemeanor,Other,None,1-5,1-5,yes
4718,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
4719,African American,30-39,Misdemeanor,Other,None,1-5,None,no
4720,Caucasian,40-49,Felony,Other,1-5,1-5,1-5,no
4721,African American,40-49,Misdemeanor,Other,None,1-5,1-5,no
4723,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,yes
4724,Caucasian,30-39,Misdemeanor,Disorderly Conduct,6-10,6-10,1-5,no
4725,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,no
4726,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
4727,Other,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
4729,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
4730,Caucasian,18-29,Felony,Battery,1-5,6-10,None,no
4731,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,yes
4732,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
4733,African American,40-49,Misdemeanor,Other,None,None,None,no
4734,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
4735,Other,30-39,Criminal Traffic,Other,None,None,None,no
4736,Other,50-59,Misdemeanor,Other,1-5,1-5,None,no
4737,Other,30-39,Felony,Other,1-5,1-5,None,yes
4738,Caucasian,50-59,Misdemeanor,Other,None,More than 10,1-5,yes
4739,African American,18-29,Felony,Bail Jumping,1-5,1-5,None,yes
4740,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
4741,African American,30-39,Misdemeanor,Other,1-5,None,None,yes
4742,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
4743,Caucasian,18-29,Felony,Other,None,None,1-5,yes
4744,African American,Younger than 18,Misdemeanor,Other,None,None,None,no
4745,Other,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
4746,African American,40-49,Criminal Traffic,OAR/OAS,None,None,None,yes
4747,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,yes
4748,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
4749,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
4750,Caucasian,Older than 60,Felony,Battery,None,1-5,1-5,no
4751,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
4752,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4753,Caucasian,30-39,Felony,Other,1-5,6-10,1-5,yes
4754,African American,18-29,Misdemeanor,Battery,None,1-5,None,no
4755,Caucasian,18-29,Felony,Other,None,1-5,None,no
4756,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,None,None,no
4757,African American,18-29,Felony,Battery,1-5,1-5,None,no
4758,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
4759,Caucasian,30-39,Misdemeanor,Disorderly Conduct,6-10,6-10,None,yes
4760,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
4762,African American,Younger than 18,Felony,Other,None,None,None,yes
4763,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,1-5,no
4764,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,no
4765,Caucasian,30-39,Felony,Other,None,None,None,no
4766,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,1-5,no
4767,African American,18-29,Felony,Other,1-5,None,None,yes
4768,Other,18-29,Misdemeanor,Other,None,None,None,no
4769,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
4770,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,no
4771,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,6-10,6-10,no
4772,Caucasian,18-29,Felony,Other,1-5,None,None,yes
4773,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
4774,African American,18-29,Felony,Other,None,None,None,no
4775,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,6-10,yes
4776,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,None,None,yes
4777,Caucasian,18-29,Felony,Other,None,None,None,no
4778,African American,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
4779,Caucasian,Younger than 18,Misdemeanor,Other,1-5,6-10,1-5,yes
4780,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
4781,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
4782,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
4783,Caucasian,18-29,Felony,Other,6-10,1-5,None,yes
4784,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,None,no
4785,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4786,Caucasian,40-49,Misdemeanor,Other,1-5,None,None,no
4787,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
4788,Caucasian,Younger than 18,Felony,Burglary,1-5,1-5,None,no
4789,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
4790,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
4791,Caucasian,18-29,Felony,Other,1-5,6-10,None,no
4792,African American,40-49,Misdemeanor,Other,1-5,1-5,None,yes
4793,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,no
4794,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
4795,Caucasian,30-39,Felony,Other,1-5,6-10,None,no
4796,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4797,Caucasian,30-39,Misdemeanor,Battery,None,1-5,None,no
4798,Caucasian,30-39,Felony,Other,1-5,None,None,no
4799,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,yes
4800,Caucasian,50-59,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4801,African American,Older than 60,Misdemeanor,OAR/OAS,None,None,1-5,yes
4802,Caucasian,18-29,Felony,Other,1-5,None,1-5,yes
4803,Caucasian,30-39,Felony,Other,1-5,None,1-5,no
4804,Caucasian,18-29,Felony,Other,None,1-5,None,no
4805,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4807,Caucasian,18-29,Criminal Traffic,Other,None,None,None,no
4808,Caucasian,40-49,Misdemeanor,Resisting Officer,None,None,None,yes
4809,Other,18-29,Misdemeanor,Resisting Officer,None,None,None,no
4810,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,None,no
4811,African American,Younger than 18,Misdemeanor,Other,1-5,None,None,yes
4812,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4813,African American,50-59,Misdemeanor,Other,None,None,1-5,no
4814,Caucasian,40-49,Felony,Other,1-5,None,None,yes
4815,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,yes
4816,Other,18-29,Misdemeanor,Other,None,None,1-5,no
4817,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
4819,Caucasian,30-39,Misdemeanor,Battery,1-5,6-10,1-5,no
4820,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
4822,Caucasian,18-29,Felony,Battery,1-5,1-5,None,yes
4823,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
4824,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
4825,Caucasian,18-29,Felony,Other,1-5,None,None,no
4826,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
4827,African American,18-29,Felony,Other,1-5,1-5,1-5,yes
4828,Caucasian,50-59,Misdemeanor,Disorderly Conduct,1-5,None,None,no
4829,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,yes
4830,Caucasian,30-39,Misdemeanor,Other,1-5,6-10,None,no
4831,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
4832,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,no
4833,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
4834,Caucasian,40-49,Misdemeanor,Resisting Officer,None,1-5,None,no
4835,Caucasian,40-49,Felony,Other,1-5,None,None,no
4836,Caucasian,30-39,Misdemeanor,OAR/OAS,None,6-10,1-5,yes
4839,Other,18-29,Misdemeanor,Other,None,None,None,no
4840,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
4841,African American,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
4842,Other,18-29,Criminal Traffic,Other,None,None,None,no
4843,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4844,African American,18-29,Felony,Other,1-5,None,None,no
4845,Caucasian,50-59,Misdemeanor,Operating While Intoxicated,None,None,None,no
4846,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
4847,Other,30-39,Misdemeanor,Battery,None,None,None,no
4848,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4849,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
4850,Other,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
4851,African American,50-59,Misdemeanor,Other,1-5,6-10,None,no
4854,Caucasian,30-39,Misdemeanor,OAR/OAS,1-5,1-5,1-5,no
4855,African American,18-29,Felony,Other,1-5,None,None,no
4856,African American,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
4857,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
4858,African American,30-39,Misdemeanor,Resisting Officer,None,None,1-5,no
4859,Caucasian,18-29,Felony,Other,None,None,None,no
4860,Caucasian,18-29,Felony,Burglary,1-5,1-5,None,no
4861,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
4862,Other,18-29,Felony,Other,1-5,1-5,None,no
4863,Other,30-39,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
4864,African American,18-29,Felony,Other,None,1-5,None,no
4865,Caucasian,30-39,Felony,Other,None,None,None,no
4866,Caucasian,30-39,Felony,Burglary,None,1-5,None,no
4867,Caucasian,Younger than 18,Misdemeanor,Other,1-5,None,None,yes
4868,Other,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
4869,Caucasian,18-29,Felony,Burglary,1-5,None,None,no
4870,African American,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
4871,Caucasian,30-39,Misdemeanor,Bail Jumping,None,None,None,yes
4872,Caucasian,18-29,Felony,Burglary,None,1-5,None,no
4874,Caucasian,18-29,Felony,Burglary,1-5,1-5,1-5,no
4875,African American,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
4876,Caucasian,40-49,Felony,Other,None,None,None,no
4877,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,More than 10,1-5,no
4878,Caucasian,18-29,Felony,Other,None,None,None,no
4879,African American,40-49,Misdemeanor,Battery,None,1-5,None,no
4880,Other,30-39,Felony,Other,None,None,None,no
4881,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
4882,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
4883,Caucasian,Younger than 18,Criminal Traffic,Other,None,None,None,no
4885,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
4886,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,None,no
4887,African American,18-29,Misdemeanor,Battery,6-10,1-5,None,no
4888,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
4889,African American,Younger than 18,Misdemeanor,Other,None,1-5,None,no
4890,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
4891,Other,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4892,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,1-5,no
4894,Caucasian,18-29,Felony,Other,1-5,6-10,None,yes
4895,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
4896,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,no
4897,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,yes
4898,African American,18-29,Felony,Other,None,None,1-5,yes
4899,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,no
4900,Caucasian,30-39,Criminal Traffic,Other,1-5,1-5,None,yes
4901,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4902,Caucasian,18-29,Misdemeanor,Other,1-5,6-10,None,yes
4903,Caucasian,18-29,Felony,Other,1-5,None,None,no
4904,Other,18-29,Felony,Other,1-5,1-5,1-5,no
4905,Caucasian,18-29,Felony,Battery,None,1-5,None,yes
4906,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,6-10,no
4907,Caucasian,30-39,Felony,Other,1-5,1-5,6-10,yes
4911,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4912,Caucasian,50-59,Felony,Other,None,None,None,no
4913,Caucasian,Younger than 18,Misdemeanor,Battery,None,None,None,no
4914,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
4915,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,1-5,yes
4916,Caucasian,50-59,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
4917,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
4918,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,1-5,yes
4919,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,no
4920,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
4921,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
4922,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4923,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
4925,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,None,no
4927,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
4928,Caucasian,30-39,Criminal Traffic,Other,None,None,None,no
4929,Other,18-29,Criminal Traffic,Other,None,None,1-5,no
4930,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,no
4931,Caucasian,30-39,Misdemeanor,OAR/OAS,1-5,6-10,1-5,yes
4932,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,None,yes
4933,African American,40-49,Felony,Other,None,None,None,yes
4934,African American,30-39,Felony,Other,1-5,None,None,yes
4935,Caucasian,Younger than 18,Misdemeanor,Other,1-5,1-5,None,yes
4936,Other,18-29,Criminal Traffic,Other,None,None,None,yes
4937,Other,18-29,Misdemeanor,Other,None,None,None,no
4939,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4940,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,More than 10,1-5,yes
4941,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
4942,Caucasian,18-29,Felony,Other,6-10,6-10,None,no
4943,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
4944,African American,18-29,Felony,Other,None,None,None,yes
4945,Caucasian,18-29,Felony,Other,None,None,None,no
4946,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
4947,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
4948,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
4949,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
4950,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
4951,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
4952,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
4953,Caucasian,18-29,Misdemeanor,OAR/OAS,None,1-5,1-5,no
4954,Other,30-39,Misdemeanor,Battery,1-5,1-5,None,yes
4955,African American,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
4956,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,6-10,1-5,yes
4958,Caucasian,18-29,Felony,Other,None,1-5,None,no
4959,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
4960,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
4961,Caucasian,18-29,Felony,Burglary,1-5,1-5,None,no
4963,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
4964,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
4965,African American,50-59,Felony,Bail Jumping,1-5,1-5,None,no
